序号,题目（含完整选项）,答案
2,"下列关于细胞结构及功能的叙述中，正确的有（　　） ①有核糖体的细胞一定能合成分泌蛋白 ②没有线粒体的细胞一定是原核细胞 ③细胞内所有的酶都在生物膜上 ④艾滋病病毒、乳酸菌和酵母菌都含有RNA和蛋白质 ⑤内质网可以增大细胞内的膜面积，有利于化学反应快速进行 ⑥唾液腺细胞和胰腺细胞中高尔基体都较多 ⑦动物细胞特有的细胞器是中心体 ⑧核膜上的核孔可以让蛋白质、RNA和DNA自由进出 A. 两项	B. 三项	C. 四项	D. 五项",B /n【解析】1、分泌蛋白是在内质网上的核糖体上合成的，必须经过内质网、高尔基体加工运输到细胞膜外，如抗体、胰岛素等； 2、胞内蛋白是在细胞质游离的核糖体上合成的，不需要运输到细胞膜外，只在细胞内起作用，如呼吸酶。 【详解】①原核细胞有核糖体，但是不能合成分泌蛋白，①错误；②哺乳动物成熟的红细胞没有细胞核和细胞器，但是属于真核细胞，②错误；③细胞内的酶不一定分布在生物膜上，如细胞质基质中也含有新陈代谢所需的酶，③错误；④艾滋病病毒、乳酸菌和酵母菌都含有RNA和蛋白质，④正确；⑤内质网可以增大细胞内的膜面积，有利于化学反应快速进行，⑤正确；⑥唾液腺细胞和胰腺细胞均具有分泌功能，其中的高尔基体都较多，⑥正确；⑦中心体分布在动物和某些低等植物细胞中，⑦错误；⑧核膜上的核孔可以让蛋白质由细胞质进入细胞核、RNA由细胞核进入细胞质，但是DNA不能进出，⑧错误。
3,对下列有关实例形成原理的解释，正确的是（    ） A. 无子番茄的获得是利用了多倍体育种的原理 B. 培育无籽西瓜是利用了单倍体育种的原理 C. 培育青霉素高产菌株是利用了基因突变的原理 D. “多莉”羊的获得是利用了杂交育种的原理,C /n【解析】 试题分析：培育无子番茄的原理是利用生长素具有促进果实发育的生理功能，故A错；培育无子西瓜利用了多倍体育种的原理，故B错；培育青霉素高产菌株属于诱变育种，原理是基因突变，故C正确； “多利羊”的获得属于克隆，其原理是动物细胞核具有全能性，故D错。 考点：本题主要考查生物育种的原理和实例，意在考查考生能理解所学知识的要点，把握知识间的内在联系的能力。
4,植物的自交不亲和性是指当花粉落在自身柱头上时，花粉不能够正常萌发或穿过柱头，无法完成受精作用，表现为自交不能结实的现象。如图为科研人员培育自交不亲和油菜的过程，其中F1中C染色体组的染色体在减数分裂过程中随机移向细胞一极。下列说法正确的是 A. F1产生染色体组型为AC配子的概率为1／512 B. BC1中所有个体均表现为自交不亲和 C. A和C含有染色体的条数分别为10、18 D. 该育种方式的主要原理是基因突变,A /n【解析】据题文描述和图示分析的可知：该题考查学生对染色体变异、减数分裂等相关知识的识记和理解能力，以及获取信息、分析问题的能力。 【详解】分析图示可知：自交不亲和的白菜产生的精子的染色体组型为A，自交亲和的甘蓝型油菜产生的卵细胞的染色体组型是AC，因此F1的染色体组型是AAC，其中C染色体组含有9条染色体，这9条染色体在减数分裂时会随机移向细胞一极，每条染色体移向细胞一极的概率是1/2，9条染色体移向细胞同一极的概率是（1/2）9，所以F1产生染色体组型为AC配子的概率为（1/2）9＝1/512，A正确；从BC1植株中选育得到的植株M为自交不亲和的纯系植株，说明BC1植株中存在杂合子，因此BC1中并不是所有个体均表现为自交不亲和，B错误；自交不亲和的白菜含有2个A染色体组，共含有20条染色体，因此A含有10条染色体，自交亲和的甘蓝型油菜含有2个A染色体组和2个C染色体组，共含有38条染色体，所以C含有9条染色体，C错误；该育种方式的主要原理是染色体变异，D错误。
5,在某牧场生态系统（假设食物链为：草→羊→狼）能量流动过程中，羊摄入体内的能量为a，羊粪便中的能量为28%a，呼吸作用散失的能量为46%a，下列说法不正确的是 （    ） A. 羊同化的能量为72%a B. 贮存在羊体内的能量为26%a C. 羊流向分解者的能量为28% D. 若草固定太阳能为X，则从草到羊的传递效率为(18a)/(25x),C /n【解析】 羊同化的能量＝摄入量—粪便量＝a—28%a ＝72%a，A正确；贮存在羊体内的能量＝同化的能量—呼吸作用散失的能量＝72%a—46%a ＝26%a，B正确；羊粪便中的能量（28%a）属于上一营养级同化的能量，依据题意无法求出羊流向分解者的能量，C错误；若草固定太阳能为X，则从草到羊的传递效率＝（72%a÷X）×100%＝(18a)/(25X)，D正确。
6,人脑内有一种“沉默突触”，它具有突触结构，但没有信息传递的功能。你推测最可能的原因是（    ） A. 突触小体中没有细胞核 B. 突触后膜缺乏相应的受体 C. 突触间隙不存在水解递质的酶 D. 突触小体能够释放相应的递质 2020年高考生物选择题专项训练（06）,B /n【解析】轴突的末端膨大成球状的突触小体，突触小体中没有细胞核，但这与“沉默突触”无关，A错误；兴奋在突触处的传递需要神经递质，若突触后膜缺乏相应的受体，则会导致神经递质无法将兴奋传递给下一个神经元，B正确；神经递质的受体位于突触后期，突触前膜缺乏相应的受体不会影响兴奋的传递，C错误；兴奋在突触处的传递需要神经递质，若突触前膜不能释放相应的神经递质，则会导致兴奋无法在突触中传递，D错误。 【考点定位】神经冲动的产生和传导 2020年高考生物选择题专项训练（06）
1,下列各项描述的化合物中元素组成一定相同的是  （    ） A. 纤维素酶催化的底物，脂肪酶催化的底物 B. 生命活动的主要承担者，遗传信息的携带者 C. 红细胞内运输氧气的物质，HIV的遗传物质 D. 具催化功能的有机物，具调节功能的有机物,A /n【解析】糖类和脂肪的组成元素是C、H、O，磷脂、核酸的组成元素是C、H、O、N、P，蛋白质的组成元素有C、H、O、N等。 【详解】纤维素酶催化的底物是纤维素，脂肪酶催化的底物脂肪，纤维素和脂肪的组成元素都是C、H、O，A正确；生命活动的主要承担者是蛋白质，组成元素是C、H、O、N等；遗传信息的携带者是核酸，组成元素是C、H、O、N、P，B错误；红细胞内运输氧气的物质是血红蛋白，组成元素有C、H、O、N、Fe；HIV的遗传物质是RNA，组成元素是C、H、O、N、P，C错误；具催化功能的有机物是蛋白质或RNA，具调节功能的有机物是蛋白质、脂质等，两者的组成元素不一定相同，D错误。
2,最新《自然》载文：科研人员从一种溶杆菌属的细菌中提取一种新型抗生素（Ljrsocin?E），它能对抗常见抗生素无法对付的超级细菌——耐甲氧西林金黄色葡萄球菌，下列相关叙述正确的是 （    ） A. 耐甲氧西林金黄色葡萄球菌的抗药性变异来源于突变或基因重组 B. 按现代进化理论解释超级细菌形成的实质是自然选择使耐药性变异定向积累的结果 C. 耐甲氧西林金黄色葡萄球菌这一超级细菌的形成意味着该种群一定发生了进化 D. 施用新型抗生素(Ljrsocin?E）会使耐甲氧西林金黄色葡萄球菌种群灭绝,C /n【解析】本题考查生物的变异、现代生物进化理论，考查对变异的实质和现代生物进化理论的理解。明确现代生物进化理论和达尔文的自然选择学说研究层次的不同是解答本题的关键。 【详解】耐甲氧西林金黄色葡萄球菌属于原核生物，不进行减数分裂，其可遗传变异不会来自基因重组，A项错误；现代进化理论在分子水平上解释生物的进化，按现代进化理论解释，超级细菌形成的实质是自然选择使金黄色葡萄球菌的基因频率发生定向变化，B项错误；进化的实质是种群基因频率的变化，耐甲氧西林金黄色葡萄球菌这一超级细菌的形成伴随着种群基因频率的变化，意味着该种群一定发生了进化，C项正确；耐甲氧西林金黄色葡萄球菌种群中存在着抗新型抗生素的个体差异，施用新型抗生素(Ljrsocin?E）不会使耐甲氧西林金黄色葡萄球菌种群灭绝，D项错误。 【点睛】本题易错选B项，错因在于对现代生物进化理论和达尔文的自然选择学说的研究层次认识不清。现代进化理论在分子水平上解释生物的进化，达尔文的自然选择学说在个体水平生解释生物的进化。B选项属于达尔文自然选择学说的解释，未能解释变异的本质和自然选择如何起作用。
3,"下列关于生长素及其类似物的叙述正确的是  （    ） A. 植物向光生长能够说明生长素作用的两重性 B. 缺乏氧气会影响植物体内生长素的极性运输 C. 在花期喷洒高浓度的2,4-D可防止落花落果 D. 用生长素类似物处理二倍体番茄幼苗，可得到多倍体","B /n【解析】 试题分析：植物向光生长的原因：由于单侧光照射，背光一侧生长素含量多于向光一侧，因而使背光一侧生长快，植物表现出弯向光源生长，不能说明生长素作用的两重性，A项错误；生长素的极性运输为主动运输，所需能量主要由有氧呼吸提供，因此缺乏氧气会影响植物体内生长素的极性运输，B项正确；在花期喷洒高浓度的2,4-D可促进落花落果，C项错误；用一定浓度的秋水仙素溶液处理二倍体番茄幼苗，可得到多倍体，D项错误。 考点：本题考查植物激素调节的相关知识，意在考查学生能理解所学知识的要点，把握知识间的内在联系，形成知识网络结构的能力。"
4,下列有关种群和群落的叙述，错误的是  （    ） A. 捕食者数量的变化与被捕食者数量的变化之间存在负反馈调节 B. 食性相同的异种鸟类分布在树林的不同位置能有效减小种间竞争 C. 黑光灯诱捕的方法可用于探究农田里昆虫的物种数目 D. 环境容纳量受自然条件限制，会因环境的破坏而发生变化,C /n【解析】反馈调节广泛存在于生态系统中，在生物群落与无机环境之间都存在，捕食者和被捕食者的数量变化能体现生物群落内的负反馈调节；植物的分层决定了动物的分层，影响动物群落分层现象的因素主要是食物和栖息空间，而食物和栖息空间是由植物提供的。黑光灯发出紫外光诱捕具有趋光性的昆虫，因为这些昆虫对紫外光敏感，没有这种特性的昆虫不能被捕获。在环境条件不受破坏的情况下，一定空间中所能维持的种群最大数量称为环境容纳量，又称为K值，同一种生物的K值不是固定不变的，会受到环境的影响，若环境遭受破坏，K值会下降；当生物生存的环境改善时，K值会上升。 【详解】A. 被捕食者的数量增加会导致捕食者的数量增加，而捕食者数量的增加会导致被捕食者数量的减少，可见两者之间的数量变化存在负反馈调节，A正确；B. 森林中同一位置的食物有限，食性相同的异种鸟类会因争夺食物发生种间竞争，因此食性相同的异种鸟类分布在树林的不同位置能有效减小种间竞争，B正确；C. 黑光灯只能用于调查农田里趋光性的昆虫，没有趋光性的昆虫不能捕获，因此不能用于探究该农田里昆虫的物种数目，C错误；D. 环境容纳量会随着环境条件的改变而改变，D正确。
5,生物学是一门实验学科，下列相关实验中涉及“分离”的叙述，错误的是（    ） A. 在“观察DNA和RNA在细胞中的分布”的实验中，盐酸能够使染色质中的蛋白质与DNA分离 B. 在“绿叶中色素的提取和分离”的实验中，色素分离是因它们在层析液中的溶解度不同 C. 在“探究植物细胞的吸水和失水”的实验中，滴加蔗糖溶液的目的是使细胞质与细胞壁分离 D. 在“观察根尖分生组织细胞有丝分裂”的实验中，解离的目的是使组织细胞相互分离开来,C /n【解析】本题考查教材基本实验，考查对相关实验的实验原理和试剂作用的理解。可在理解、熟记相关实验原理和试剂作用的基础上进行判断、分析。 【详解】在“观察DNA和RNA在细胞中的分布”的实验中，盐酸能够增加膜透性，同时可以使染色质中的蛋白质与DNA分离，有利于DNA和染色剂的结合，A项正确；在“绿叶中色素的提取和分离”的实验中，4种色素在层析液中的溶解度不同，随层析液在滤纸条上的扩散速度不同，因而可以分离开，B项正确；在“探究植物细胞的吸水和失水”的实验中，滴加蔗糖溶液的目的是使原生质层与细胞壁分离，C项错误；在“观察根尖分生组织细胞有丝分裂”的实验中，盐酸可以破坏细胞壁中的果胶成分，使组织细胞相互分离开来，D项正确。
6,人类的ABO血型是由基因IA、IB、i (三者之间互为等位基因）控制， 含基因IA不含基因 IB的个体为A型血，含基因IB不含基因IA的个体为B型血，基因IA和IB都有的个体为AB型血，基因IA和IB都没有的个体为O型血。下列关于ABO血型的叙述，正确的是（     ） A. 人类的ABO血型共有5种基因型 B. 父母都是AB型血，子女也应为AB型血 C. 基因IA、IB和i间均没有显隐性关系 D. 父母都是O型血，子女也应为O型血 2020年高考生物选择题专项训练（07）,D /n【解析】本题考查分离定律，考查分离定律的应用。IA、IB、i 三者之间互为等位基因，它们的遗传遵循分离定律，根据题意可写出各种血型的基因型，根据分离定律和亲代的血型可预测子代的基因型和血型。 【详解】人类的ABO血型共有IAIA、IAIB、IAi、IBIB、IBi、ii6种基因型，A项错误；父母都是AB型血，基因型为IAIB，子女的基因型可以是IAIA、IBIB、IAIB，血型可以是A型、B型或AB型，B项错误；根据题意可知，基因IA和IB表现为共显性，且均对i表现为显性，C项错误；父母都是O型血，均不含IA和IB，其子女应为O型血，D项正确。 2020年高考生物选择题专项训练（07）
1,螺旋现象普遍存在于多种物质或生物结构中，下列有关说法不正确的是  （    ） A. 某些蛋白质具有的螺旋结构，决定了其特定的功能 B. 染色体解螺旋形成染色质的同时，DNA分子双链也随之解旋 C. DNA分子具有规则的双螺旋结构，决定了其结构的稳定性 D. 水绵的叶绿体呈螺旋式带状，便于实验时观察光合作用的场所,B /n【解析】结构决定功能，因此某些蛋白质具有的螺旋结构，决定了其特定的功能，A正确；染色体解螺旋形成染色质的同时，DNA分子双链并没有解旋，B错误；DNA分子具有规则的双螺旋结构，决定了其结构的稳定性，C正确；叶绿体是真核生物光合作用的场所，水绵的叶绿体呈螺旋式带状，便于实验时观察光合作用的场所及分析，D正确。
2,下列关于生物体结构和功能的说法，错误的是  （    ） A. 原核细胞都没有生物膜系统，但不是所有真核细胞都有生物膜系统 B. 由卵细胞直接发育成雄蜂的过程中发生了细胞分化，体现了细胞的全能性 C. 细胞核是细胞代谢和遗传的控制中心，代谢旺盛的细胞中细胞核增多 D. 神经递质的释放、质壁分离现象和动物细胞分裂过程都体现了细胞膜的流动性,C /n【解析】原核细胞都没有生物膜系统，但不是所有真核细胞都有生物膜系统，如哺乳动物成熟的红细胞，没有细胞核，没有任何细胞器，没有生物膜系统，A正确；在由卵细胞直接发育成雄蜂的过程中发生了细胞的分化，体现了生殖细胞的全能性，B正确；一般情况下，代谢旺盛的细胞中细胞核的数量不会增加，C错误；神经递质的释放、质壁分离现象和动物细胞分裂过成都体现了细胞膜的流动性，D正确。
3,下列生命系统的活动中，不是单向进行的是  （    ） A. 植物细胞发生质壁分离过程中，水分子的运动 B. 基因表达过程中，遗传信息的传递 C. 食物链和食物网中，能量和物质的流动 D. 两个神经元之间，兴奋的传递,A /n【解析】渗透作用过程中，水分子的扩散是双向的。基因控制蛋白质合成时，遗传信息的传递方向是：DNA→mRNA→蛋白质。能量流动的特点是单向流动，逐级递减；物质循环是不断进行着从无机环境到生物群落，有从生物群落到无机环境的循环过程。兴奋在神经纤维上的传导可以是双向的，但在神经元之间的传递时单向的，因为神经递质只能由突触前膜释放，作用于突触后膜。 【详解】植物细胞发生质壁分离时，水分子的扩散是双向的，只是出细胞的水分子数目多于进细胞的，A符合题意；蛋白质合成过程中，遗传信息的传递是单向的，即DNA→mRNA→蛋白质，且核糖体在mRNA上的移动也是单向的，B不符合题意；食物链和食物网中，能量是单向流动，逐级递减的，C不符合题意；受到刺激时，兴奋在反射弧中的传导是单向的，因此兴奋在突触处的传递方向是单向的，D不符合题意。故选A。 【点睛】本题综合考查细胞的质壁分离及复原、遗传信息的传递、生态系统的功能、兴奋在神经元之间的传递的相关知识，只要考生识记相关知识点即可对选项作出正确的判断，属于考纲识记层次的考查。需要注意的是C选项，要求考生明确，渗透时，水分子的运动方向的是双向的。
4,下列物质运输途径在人体造血干细胞中可能存在的是  （    ） A. 吸收的葡萄糖：细胞膜→细胞质基质→线粒体 B. 合成的细胞膜蛋白：高尔基体→核糖体→细胞膜 C. 转录的mRNA：细胞核→细胞质基质→高尔基体 D. 合成的DNA聚合酶：核糖体→细胞质基质→细胞核,D /n【解析】无论在哪种细胞中，葡萄糖都不会直接进入线粒体，而是先在细胞质基质中分解生成丙酮酸，然后丙酮酸进入线粒体内继续被氧化分解，A项错误；蛋白质都是先在核糖体上合成的，B项错误；转录的mRNA在细胞核内合成后通过核孔进入细胞质基质，然后与核糖体结合，进行翻译过程，C项错误；DNA聚合酶的化学本质是蛋白质，先在核糖体上合成，然后经过细胞质基质由核孔进入细胞核，催化DNA的复制，D项正确。 考点：本题考查细胞内的物质运输途径，意在考查考生理解所学知识的要点，把握知识间的内在联系，形成知识的网络结构的能力。
5,为调查视网膜母细胞瘤的遗传方式并绘制遗传系谱图，下列说法正确的是  （    ） A. 在人群中随机抽样调查并统计 B. 必需的信息不包括遗传病是显性还是隐性 C. 先调查相关基因的频率，再计算发病率 D. 先调查基因型频率，再确定遗传方式,B /n【解析】调查人类遗传病时，最好选取群体中发病率相对较高的单基因遗传病，如色盲、白化病等；若调查的是遗传病的发病率，则应在群体中抽样调查，选取的样本要足够的多，且要随机取样；若调查的是遗传病的遗传方式，则应以患者家庭为单位进行调查，然后画出系谱图，再判断遗传方式。 【详解】调查遗传病的遗传方式应该在患者家系中调查，A错误；通常建立系谱图必需的信息不包括遗传病是显性还是隐性，B正确；调查遗传病的遗传方式时不需要调查相关基因的频率，也不需要计算发病率，C错误；调查遗传病的遗传方式时应该在患者家系中调查，再绘制系谱图，不需要调查基因型频率，D错误。故选B。
6,有关生物体生命活动调节的表述，正确的是  （    ） A. 病毒感染→人体B细胞分泌特异性抗体→清除病毒 B. 外界温度降低→哺乳动物大脑皮层中枢兴奋→体温稳定 C. 摄入高糖食品→人体胰岛素分泌增加→血糖水平回落 D. 单侧光照→植物背光侧生长素合成增加→向光弯曲 2020年高考生物选择题专项训练（08）,C /n【解析】根据题意分析可知：病毒感染后能引起人体的特异性免疫，并通过浆细胞分泌抗体，清除病毒。外界温度降低后，机体通过神经和体液调节，能维持体温稳定。人体摄入高糖食品后，会导致血糖浓度升高，但通过胰岛素的调节，能维持血糖平衡。单侧光能导致生长素横向运输，造成分布不均匀。 【详解】人体T细胞无分泌抗体的功能，只有浆细胞才能分泌特异性抗体，A错误；外界温度降低导致哺乳动物下丘脑体温调节中枢兴奋，从而减少散热，增加产热以保持体温相对稳定，B错误；摄入高糖食品后，人体的血糖浓度升高，此时胰岛B细胞能够感受到血糖浓度的变化，会使胰岛素的分泌量增加，促使血糖回落到正常水平，C正确；单侧光照，使生长素由向光侧向背光侧运输，从而使背光侧生长素含量升高，植物向光弯曲生长，D错误。 2020年高考生物选择题专项训练（08）
1,西安浐灞生态园区开展综合治理建立湿地生态系统中，引进外来物种水葫芦（凤眼莲），结果造成了水葫芦疯长。下列说法合理的是  （    ） A. 能实现当地物种多样性的增加 B. 是对凤眼莲进行异地保护 C. 引入水葫芦体现了生物多样性的直接价值 D. 外来物种入侵会破坏浐灞生态园区湿地生态系统的多样性,D /n【解析】不适当物种引入有两种可能：一是因不适应新环境而被排斥在系统之外；二是因生态系统中没有相抗衡或制约它的生物而成为入侵者，大多会在新的环境中大肆繁殖、扩散并造成危害，改变或破坏原有生态系统的平衡和功能，使当地的一些物种消失，物种丰富度降低，生态系统的抵抗力稳定性也降低。 【详解】据分析可知，外来物种的入侵可能会导致生物多样性遭到破坏，A错误；对生物多样性最有效的保护就是就地保护，B错误；对生态系统起重要调节作用的价值属于间接价值，引入水葫芦的作用属于生物多样性的间接价值，C错误；外来物种的入侵可能会导致生物多样性遭到破坏，D正确；因此，本题答案选D。 【点睛】解答本题的关键是：明确外来入侵物种对生态系统的影响，以及生物多样性的含义，再根据题意作答。
2,"关于光合作用和呼吸作用的叙述，错误的是  （    ） A. 磷酸是光反应中合成ATP所需的原料之一 B. 在适宜的光照下，叶肉细胞类囊体薄膜上产生的ATP明显多于线粒体内膜 C. 人体在剧烈运动时所需的能量由乳酸分解提供 D. 细胞呼吸和光合作用中均能产生[H],但二者还原的物质不同",C /n【解析】ATP分子的结构式可以简写成A—P~P~P，其中A代表腺苷，P代表磷酸基团，~代表一种特殊的化学键，叫做高能磷酸键，高能磷酸键断裂时，大量的能量会释放出来。光合作用光反应阶段会生成ATP，有氧呼吸各个阶段都会生成ATP。 【详解】光反应过程中，ATP的生成需要磷酸，光能和酶，因此，磷酸是光反应中合成ATP所需的原料之一，A正确；光合作用是能量之源，对绝大多数生物来说，活细胞所需能量的最终源头是来自太阳的光能，因此，在适宜的光照下，叶肉细胞类囊体薄膜上产生的ATP明显多于线粒体内膜，即光合作用产生的是ATP多于呼吸作用产生的ATP，B正确；人体剧烈运动状态下，所需的能量主要来自ATP的分解，而ATP由肌肉细胞通过无氧呼吸分解葡萄糖产生，乳酸在机体中不会再分解功能，C错误；细胞呼吸产生的[H]实际上是还原型辅酶Ⅰ（NADH），光合作用产生的[H]实际上是还原型辅酶Ⅱ（NADPH），二者还原的物质不同，D正确；因此，本题答案选C。 【点睛】解答本题的关键是：明确无氧呼吸过程中，只有第一阶段释放少量能量，生成少量ATP，葡萄糖分子中的大部分能量则存留在酒精或乳酸中，再根据题意作答。
3,"下列有关生物实验的描述中，正确的是  （    ） A. 在“细胞大小与物质运输的关系”实验中，NaOH扩散的深度（观察切面、琼脂块变红的 体积）与琼脂块的大小呈正相关 B. 用差速离心法可将蓝藻的各细胞器分离开 C. 用标志重捕法调查“ 土壤小动物类群丰富度”时,需要注意标记物不能太大和醒目 D. 在探究pH对酶活性的影响实验中,pH是自变量，温度属于无关变量",D /n【解析】探究“细胞大小与物质运输的关系”的实验的目的是：通过探究细胞表面积与体积之比，与物质运输效率之间的关系，探讨细胞不能无限长大的原因；实验中测量不同大小的琼脂块上NaOH扩散的深度相同，通过模拟实验可以看出，细胞体积越小，其相对表面积越大，细胞的物质运输效率就越高。土壤中小动物类群丰富度的研究一般采用取样器取样法，样方法和标志重捕法用于种群密度的调查。 【详解】在“细胞大小与物质运输的关系”实验中，NaOH扩散的深度（观察切面、琼脂块变红的体积）相同，与琼脂块的大小无关，A错误；蓝藻是原核生物，只有核糖体一种细胞器，因此，用差速离心法可将真核细胞的各细胞器分离开，而不是原核生物，B错误；“土壤小动物类群丰富度”用取样器取样的方法进行采集和调查，因为许多土壤动物有较强的活动能力，而且身体微小，不适于用样方法或标志重捕法进行调查，C错误；在探究pH对酶活性的影响实验中，pH是自变量，酶的活性属于因变量，其他变量均为无关变量，D正确；因此，本题答案选D。 【点睛】解答本题的关键是：明确上述实验的实验原理，以及自变量、因变量和无关变量的区别，再根据题意作答。
4,基因在转录形成mRNA时，有时会形成难以分离的DNA-RNA杂交区段，称为R环结构，这种结构会影响DNA复制、转录和基因的稳定性。以下说法正确的是  （    ） A. 细胞DNA复制和转录的场所在细胞核中 B. mRNA难以从DNA上分离可能是这种DNA片段的模板链与mRNA之间形成的氢键比例较高 C. 是否出现R环结构可作为是否发生复制的判断依据 D. DNA—RNA杂交区段最多存在5种核苷酸,B /n【解析】RNA是在细胞核中，以DNA的一条链为模板合成的，这一过程称为转录。转录可以发生在细胞核中，可以发生在线粒体和叶绿体中，也可发生在原核生物的细胞质中。 【详解】细胞DNA复制和转录的场所主要在细胞核中，线粒体和叶绿体中也可发生，A错误； mRNA难以从DNA上分离可能是这种DNA片段的模板链与mRNA之间形成的氢键比例较高，即G-C碱基对形成比例较多有关，B正确；正常基因转录时也会形成DNA-RNA杂交区段，因此，是否出现R环结构不可作为是否发生复制的判断依据，C错误；DNA—RNA杂交区段最多存在8种核苷酸，因为DNA中最多可存在4种脱氧核苷酸，RNA中最多可存在4种核糖核苷酸，D错误；因此，本题答案选B。 【点睛】解答本题的关键是看清题干中相关信息“基因在转录形成mRNA时，有时会形成难以分离的DNA-RNA杂交区段，称为R环结构”，再根据题意作答。
5,如图表示人体在寒冷环境中的体温调节过程，下列相关叙述中，正确的是  （    ） A. 感受外界环境温度变化的感受器在下丘脑 B. 上述体温调节过程只有神经调节 C. 传出神经末梢与甲、乙、丙共同构成反射弧的效应器 D. 如果丙表示相关骨骼肌的活动，则通过战栗增加无氧呼吸的强度,C /n【解析】体温的恒定对于人体正常的生命活动至关重要，人体热量的来源主要是细胞中有机物的氧化放能（尤以骨骼肌和肝脏产热为多），热量的散出主要通过汗液的蒸发、皮肤内毛细血管的散热，其次还有呼气、排尿和排便等。动物体的各项生命活动常常同时受神经和体液的调节。 【详解】感受外界环境温度变化的感受器分布于人体的皮肤、黏膜、内脏器官中，体温调节中枢在下丘脑，A错误；上述体温调节过程有神经调节和体液调节，增加产热的激素有甲状腺激素和肾上腺素等，B错误；效应器是指传出神经末梢及其支配的肌肉或腺体，因此，传出神经末梢与甲、乙、丙共同构成反射弧的效应器，C正确；骨骼肌产热主要通过有氧呼吸过程，D错误；因此，本题答案选C。 【点睛】解答本题的关键是：明确体温调节的过程，体温调节中枢，以及人体产热和散热的途径，再根据题意作答。
6,钻天杨（杨树的一种）由于受到能分泌细胞分裂素类似物的病原体的侵袭，侧芽生长失控， 形成大量侧枝，影响其成“材”。下列叙述正确的是  （    ） A. 该现象说明细胞分裂素能解除植物的顶端优势 B. 该病原体分泌的是一种能调节植物生长发育的植物激素 C. 侧芽生长失控是因为该部位生长素与细胞分裂素类似物的比值增大 D. 正常生长的钻天杨侧芽生长受抑制是因为生长素含量不足 2020年高考生物选择题专项训练（9）,A /n【解析】1、由植物体内产生，能从产生部位运送到作用部位，对植物的生长发育有显著影响的微量有机物，称作植物激素； 2、顶芽产生的生长素逐渐向下运输，枝条上部的侧芽附近生长素浓度较高。由于侧芽对生长素浓度比较敏感，因此它的发育受到抑制，植株因而表现出顶端优势。去掉顶芽后，侧芽附近的生长素来源暂时受阻，浓度降低，于是抑制就被解除，侧芽萌动、加快生长。 【详解】正常情况下，植物的生长具有顶端优势，侧芽生长受抑制，钻天杨被细胞分裂素类似物的病原体侵袭后，侧芽生长失控，该现象说明细胞分裂素能解除植物的顶端优势，A正确；该病原体分泌的是一种能调节植物生长发育的物质不是植物激素，因为植物激素是植物体自身分泌的，B错误；侧芽生长失控是因为该部位生长素与细胞分裂素类似物的比值减小，C错误；正常生长的钻天杨侧芽生长受抑制是因为生长素含量过高，D错误。 【点睛】解答本题的关键是：明确植物激素和植物生长调节的区别，以及生长素和细胞分裂素生理作用的不同，再根据题意作答。 2020年高考生物选择题专项训练（09）
1,下列有关病毒和细胞的说法，正确的是（　　） A. 病毒的遗传物质位于其拟核区 B. 流感病毒可以被淋巴因子和浆细胞清除 C. 紫色洋葱鳞片叶外表皮细胞中的色素与其绿色叶片中的色素差别不大 D. 人胰岛A细胞的细胞核中可以转录出能合成胰高血糖素的mRNA,D /n【解析】病毒没有细胞结构，只有蛋白质外壳和遗传物质核酸，病毒的生活方式为寄生，必须在活细胞内才可以生活。抗体可与病毒结合，阻止病毒的传播。胰岛A细胞能合成并分泌胰高血糖素，所以胰岛A细胞能合成胰高血糖素的mRNA。 【详解】病毒没有细胞结构，没有拟核，A错误；浆细胞的作用是产生抗体，淋巴因子和浆细胞不能直接清除病毒，B错误；紫色洋葱鳞片叶外表皮细胞中的色素位于液泡中，不能进行光合作用，绿色叶片中的色素位于叶绿体中，能进行光合作用，C错误；人胰岛A细胞的细胞核中可以转录出能合成胰高血糖素的mRNA，并能在细胞质中的核糖体上合成胰高血糖素，D正确。 【点睛】此题主要考查人体免疫系统在维持稳态中的作用，意在考查学生对基础知识的理解掌握，难度适中。
2,下列有关真核细胞的跨膜运输及代谢的叙述，正确的是（　　） A. 葡萄糖进入所有真核细胞的方式均相同 B. 氧气浓度大小不会影响哺乳动物成熟红细胞对K+的主动吸收过程 C. 细胞需要的小分子或离子物质都是通过主动运输进入细胞内的 D. 人体激素必须通过体液运输进入细胞内才能完成对细胞代谢的调节,B /n【解析】葡萄糖分子进入红细胞为协助扩散，进入其他某些细胞为主动运输，A错误；哺乳动物成熟红细胞没有细胞核和细胞器，进行无氧呼吸，则氧气浓度不会影响哺乳动物成熟红细胞对K+的主动运输，B正确；细胞需要的小分子或离子可通过自由扩散或协助扩散或主动运输方式进入细胞，C错误；人体激素有的通过体液运输进入细胞内才能完成对细胞代谢的调节，如性激素，大多数激素不进入细胞，D错误。 【点睛】本题着重考查了物质跨膜运输方式的异同点，要求考生能够识记相关物质跨膜运输的方式，掌握神经冲动的产生和传导的机制，再结合所学知识准确判断各项。
